,text,labels
4856,"INTERPRETATION & CONCLUSION R659X mutation correlates with disease phenotype , and 655A>G locus is highly polymorphic .
",
4857,"Our study suggested that R659X substitution was prime cause for the disease phenotype in this family .
",
4858,"I219V substitution is a polymorphism having no association with the disease onset or segregation .
",
4859,"The family members harbouring this mutation were advised to be under regular medical surveillance .
",
4860,"Previous studies with selenium and/or vitamin E in prostate carcinogenesis animal models have been negative , but these models may not involve oxidative stress mechanisms .
",
4861,"In this study , we examined the potential of selenomethionine and alpha-tocopherol to modulate prostate cancer development in the testosterone plus estradiol-treated NBL rat , a model that does involve sex hormone-induced oxidative stress mechanisms and prostatic inflammation .
",
4862,"One week following the implantation with hormone-filled Silastic implants , rats were fed diets containing l-selenomethionine ( 1.5 or 3.0 mg/kg ) , DL-alpha-tocopherol acetate ( 2,000 or 4,000 mg/kg ) , or a natural ingredient control diet ( NIH-07 ) .
",
4863,"The development of prostate carcinomas was not affected by dietary treatment with either agent .
",
4864,"Food intake , body weight , and mortality were also not affected .
",
4865,"The high dose of selenomethionine reduced the severity of epithelial dysplasia in the lateral prostate that was not associated with inflammation , and alpha-tocopherol reduced in a dose-related fashion the incidence of marked inflammation and marked epithelial dysplasia in the lateral prostate , regardless of whether these lesions were associated with inflammation. alpha-Tocopherol significantly increased the incidence of adenocarcinomas of the mammary glands at both dietary concentrations .
",Tumor promoting inflammation--Inflammation--
4866,"Collectively , our findings suggest that selenomethionine and alpha-tocopherol supplementation does not prevent prostate cancer in rats fed diets with nutritionally adequate levels of selenium and vitamin E. Importantly , the results of the current animal studies and those reported previously were fully predictive of the outcome of the Selenium and Vitamin E Cancer Prevention Trial .
",
4867,"BACKGROUND Lung cancer often develops in association with chronic pulmonary inflammatory diseases with an influx of neutrophils .
",
4868,"More detailed information on inflammatory pathways and the role of neutrophils herein is a prerequisite for understanding the mechanism of inflammation associated cancer .
",
4869,"METHODS In the present study , we used microarrays in order to obtain a global view of the transcriptional responses of the lung to LPS in mice , which mimics an acute lung inflammation .
",
4870,"To investigate the influence of neutrophils in this process , we depleted mice from circulating neutrophils by treatment with anti-PMN antibodies prior to LPS exposure .
",
4871,"RESULTS A total of 514 genes was greater than 1.5-fold differentially expressed in the LPS induced lung inflammation model. 394 of the 514 were up regulated genes mostly involved in cell cycle and immune/inflammation related processes , such as cytokine/chemokine activity and signalling .
",Tumor promoting inflammation--Immune response
4872,"Down regulated genes represented nonimmune processes , such as development , metabolism and transport .
",
4873,"Notably , the number of genes and pathways that were differentially expressed , was reduced when animals were depleted from circulating neutrophils , confirming the central role of neutrophils in the inflammatory response .
",Tumor promoting inflammation--Inflammation--
4874,"Furthermore , there was a significant correlation between the differentially expressed gene list and the promutagenic DNA lesion M1dG , suggesting that it is the extent of the immune response which drives genetic instability in the inflamed lung .
",Tumor promoting inflammation--Immune response
4875,"Several genes that were specifically regulated by the presence of activated neutrophils could be identified and these were mostly involved in interferon signalling , oxidative stress response and cell cycle progression .
",Tumor promoting inflammation--Inflammation--Oxidative stress
4876,"The latter possibly refers to a higher rate of cell turnover in the inflamed lung with neutrophils , suggesting that the neutrophil influx is associated with a higher risk for the accumulation and fixation of mutations .
",Genomic instability and mutation--Mutation
4877,"CONCLUSION Gene expression profiling identified specific genes and pathways that are related to neutrophilic inflammation and could be associated to cancer development and indicate an active role of neutrophils in mediating the LPS induced inflammatory response in the mouse lung .
",Tumor promoting inflammation--Inflammation--
4878,"AIM Colorectal cancer is the third most common form of cancer in the industrial countries .
",
4879,"Due to advances regarding the treatments , primarily development of improved surgical methods and the ability to make the earlier diagnosis , the mortality has remained constant during the past decades even though the incidence in fact has increased .
",
4880,"To improve chemotherapy and enable personalised treatment , the need of biomarkers is of great significance .
",
4881,"In this study , we evaluated the gene expression profiles of the colon cancer cell lines treated with SN-38 , the active metabolite of topoisomerase-1 inhibitor irinotecan which leads to cell cycle arrest and apoptosis .
",
4882,"MATERIAL AND METHODS The study included 3 colon cancer cell lines : KM12C , KM12SM and KM12l4a .
",
4883,"The 3 cell lines were treated with SN-38 , and samples were obtained after 24 and 48 hour treatments .
",
4884,"The gene expression analyses were performed using oligonucleotide microarrays comprising of approximately 27,000 spots where the untreated controls were compared to the SN-38-treated samples .
",
4885,"RESULTS Unsupervised clustering clearly distinguished the treated cell lines from the untreated .
",
4886,"Supervised analysis identified 3,974 significant genes ( p = 0.05 ) differentiating the treated samples from the untreated , majority of which were down-regulated after treatment .
",
4887,"The top-ranked down-regulated genes in the treated cell lines included those related to receptor and kinase activity , signal transduction , apoptosis , RNA processing , protein metabolism and transport , cell cycle and transcription .
","Sustaining proliferative signaling--Receptors,Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling,Resisting cell death--Apoptosis,Sustaining proliferative signaling--Cell cycle,Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle"
4888,"A smaller number of genes were up-regulated in the cell lines after treatment and included genes involved in apoptosis , transcription , development and differentiation .
",
4889,"CONCLUSIONS These results demonstrate that the expression of the genes involved in cell proliferation and apoptosis as well as RNA , DNA and protein metabolism were affected by SN-38 .
",
4890,"The impact of certain genes on colorectal cancer development needs to be further evaluated ; however , these results could serve as a basis for further studies in order to find targets for irinotecan treatment .
",
4891,"Hypoxia is widespread in solid tumors as a consequence of poorly structured tumor-derived neovasculature , which is recognized to play a role in the resistance of cancer cells to chemotherapy .
",
4892,"Etoposide ( VP-16 ) , a drug commonly used in chemotherapy , leads to enhanced accumulation of cell populations in G2/M phase and increases levels of apoptosis as a topoisomerase II inhibitor .
",
4893,"We evaluated the effects of hypoxia on the response of the neuroblastoma cell line CHP126 to VP-16 , in order to delineate the mechanisms responsible for the hypoxia-induced chemoresistance of this clinically conventional anti-cancer agent , with an insight to determining potential indications in neuroblastoma therapy .
",
4894,"In this study , physiological hypoxia was shown to attenuate G2/M arrest and apoptosis induced in CHP126 cells by VP-16 .
",
4895,"It suppressed drug-related Cdk1 activity with a less elevation of regulator proteins such as cyclin B1 , Cdk7 and reduced caspase activation and PARP cleavage compared to the efficiency observed in normoxic condition , which were significantly relative with hypoxia-driven inhibition of p53 and p-ERK1/2 activation .
","Sustaining proliferative signaling--Cell cycle,Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling,Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle,Resisting cell death--Apoptosis"
4896,"These results clearly demonstrated that hypoxia had a protective effect against VP-16-induced cytotoxicity , which is likely to provide a further therapeutic knowledge in neuroblastomas .
",
4897,"BACKGROUND Non-alcoholic fatty liver disease ( NAFLD ) is associated with obesity , insulin resistance and hepatic steatosis .
",
4898,"Non-alcoholic steatohepatitis ( NASH ) is a serious consequence of NAFLD where chronic tissue damage and inflammation result in fibrosis which may progress to cirrhosis .
",
4899,"Transforming growth factor beta1 ( TGFbeta1 ) , proinflammatory cytokines and oxidative stress are thought to play crucial roles in the pathogenesis of these conditions .
",
4900,"The contributions of individual liver cell types to fibrogenesis remain controversial and the influence of selenium status has not been investigated .
",
4901,"METHODS In this study we have used a cell culture model of fat-loading using oleate-treated human hepatoblastoma ( C3A ) cells to investigate how fat-loading and selenium status might influence the production of collagen in response to TGFbeta1 .
",
4902,"The secretion of inflammatory cytokines was also investigated , together with the epithelial character of the treated cells .
",
4903,"RESULTS We found that in response to treatment with TGFbeta1 , C3A cells produced mRNA encoding the pro-alphaI chain of procollagen I , secreted procollagen I peptide , up-regulated production of the proinflammatory cytokine interleukin-8 ( IL-8 ) and the mesenchymal marker vimentin , and down-regulated albumin production .
",Tumor promoting inflammation--Inflammation--
4904,"Most of these responses were considerably enhanced when cells were fat-loaded with oleate and were attenuated by selenium addition at a dose that optimised the expression of thioredoxin reductase and glutathione peroxidase .
",Tumor promoting inflammation--Inflammation--Oxidative stress
4905,"CONCLUSIONS Our data establish that both fat-loading and suboptimal selenium status enhance collagen and IL-8 production by C3A hepatocytes in response to TGFbeta1 , possibly as part of an epithelial to mesenchymal transition .
",
4906,"GENERAL SIGNIFICANCE These findings suggest that the hepatocyte may be an important contributor to the pathogenesis of fibrosis associated with NAFLD .
",
4907,"The aryl hydrocarbon receptor ( AhR ) is a ligand-activated transcription factor that mediates a spectrum of toxic and biological effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin and related compounds .
",
4908,"Several reports have shown that the AhR plays an important role in the control of cell-cycle progression , and this function is thought to be partly associated with the tumor promotion activity of dioxin .
",
4909,"However , the underling mechanisms are not fully understood .
",
4910,"We have previously shown that overexpression of AhR , as well as AhR ligand treatment , stimulates cell proliferation of human lung cancer A549 cells .
",
4911,"In AhR-activated cells , the expression levels of DNA synthesis-related genes such as proliferating cell nuclear antigen ( PCNA ) and RFC38 are notably increased .
",
4912,"Expression of these genes is mainly regulated by E2F1 , a transcription factor that is crucial for transition of the cell cycle from G1 to S phase .
",
4913,"We show here that the transcriptional activity of E2F1 is increased by the AhR agonist treatment and that this effect depends on the presence of AhR .
",
4914,"Functional mapping of AhR showed that the Per-Arnt-Sim ( PAS ) B domain is required for promotion of E2F1 activity .
",
4915,"The mechanism involves formation of a complex of AhR and E2F1 on the regulatory region in the E2F1 target gene , followed by recruitment of coactivator activator for thyroid hormone and retinoid receptors ( ACTR ) .
",Sustaining proliferative signaling--Receptors
4916,"Consequently , the results in this study indicate the physiological function of AhR as a potent transcriptional coactivator of E2F1-dependent transcription and implicate the AhR-E2F1 interaction as a part of the mechanism by which AhR/Arnt promotes cell proliferation .
",Sustaining proliferative signaling--Receptors
4917,"Although anticancer effect of gambogic acid ( GA ) and its potential mechanisms were well documented in past decades , limited information is available on the anticancer effect of gambogenic acid ( GNA ) , another major active component of Gamboge .
",
4918,"Here we performed a study to determine whether GNA possesses anticancer effect and find its potential mechanisms .
",
4919,"The results suggested that GNA significantly inhibited the proliferation of several tumor cell lines in vitro and in vivo .
",
4920,"Treatment with GNA dose and time dependently induced A549 cells apoptosis , arrested the cells to G0/G1 phase in vitro and down-regulated the expression of cyclin D1 and cyclooxygenase ( COX)-2 in mRNA level .
","Tumor promoting inflammation--Inflammation--,Sustaining proliferative signaling--Cell cycle,Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle,Resisting cell death--Apoptosis"
4921,"In addition , anticancer effect was further demonstrated by applying xenografts in nude mice coupled with the characteristic of apoptosis in the GNA treated group .
",
4922,"Taken together , these observations might suggest that GNA inhibits tumor cell proliferation via apoptosis-induction and cell cycle arrest .
",
4923,"Cancer cells upregulate glycolysis , increasing glucose uptake to meet energy needs .
",
4924,"A small fraction of a cell's glucose enters the hexosamine biosynthetic pathway ( HBP ) , which regulates levels of O-linked beta-N-acetylglucosamine ( O-GlcNAc ) , a carbohydrate posttranslational modification of diverse nuclear and cytosolic proteins .
",
4925,"We discovered that breast cancer cells upregulate the HBP , including increased O-GlcNAcation and elevated expression of O-GlcNAc transferase ( OGT ) , which is the enzyme catalyzing the addition of O-GlcNAc to proteins .
",
4926,"Reduction of O-GlcNAcation through RNA interference of OGT in breast cancer cells leads to inhibition of tumor growth both in vitro and in vivo and is associated with decreased cell-cycle progression and increased expression of the cell-cycle inhibitor p27(Kip1) .
",Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle
4927,"Elevation of p27(Kip1) was associated with decreased expression and activity of the oncogenic transcription factor FoxM1 , a known regulator of p27(Kip1) stability through transcriptional control of Skp2 .
",Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle
4928,"Reducing O-GlcNAc levels in breast cancer cells decreased levels of FoxM1 protein and caused a decrease in multiple FoxM1-specific targets , including Skp2 .
",
4929,"Moreover , reducing O-GlcNAcation decreased cancer cell invasion and was associated with the downregulation of matrix metalloproteinase-2 , a known FoxM1 target .
",
4930,"Finally , pharmacological inhibition of OGT in breast cancer cells had similar anti-growth and anti-invasion effects .
",
4931,"These findings identify O-GlcNAc as a novel mechanism through which alterations in glucose metabolism regulate cancer growth and invasion and suggest that OGT may represent novel therapeutic targets for breast cancer .
",Cellular energetics--Glycolysis/Warburg effect
4932,"Ataxia telangiectasia ( AT ) cells , with their defective double-strand break ( DSB ) repair processes , exhibit high sensitivity to low-LET radiation such as X-rays irradiation and gamma beams .
",
4933,"Since heavy ion beam treatment for cancer is becoming increasingly common in Japan and elsewhere , it is important to also determine their sensitivity to high-LET radiation .
",
4934,"For this purpose we irradiated AT and normal human cells immortalized with the human telomerase gene using high- ( 24-60 keV/microm carbon and 200 keV/microm iron ions ) or low-LET ( X-rays ) radiation in non-proliferative conditions .
",
4935,"In normal cells the RBE ( relative biological effectiveness ) of carbon and iron ions increased from 1.19 to 1.81 in proportion to LET .
",
4936,"In contrast , their RBE in AT cells increased from 1.32 at 24 keV/microm to 1.59 at 40 keV/microm , and exhibited a plateau at over 40 keV/microm .
",
4937,"In normal cells most gamma-H2AX foci induced by both carbon- and iron-ion beams had disappeared at 40 h .
",
4938,"In AT cells , however , a significant number of gamma-H2AX foci were still observed at 40 h .
",Genomic instability and mutation--DNA damage--
4939,"The RBEs found in the AT cells after heavy-ion irradiation were consistent with the effects predicted from the presence of non-homologous end joining defects .
",Genomic instability and mutation--DNA repair mechanisms
4940,"The DSBs remaining after heavy-ion irradiation suggested defects in the AT cells ' DSB repair ability .
","Genomic instability and mutation--DNA damage--Strand breaks,Genomic instability and mutation--DNA repair mechanisms"
4941,"BACKGROUND Inactivation of p53 is involved in arsenite-induced tumorigenesis ; however , the molecular mechanisms remain poorly understood .
",
4942,"OBJECTIVE We investigated the molecular mechanisms underlying the inactivation of p53 and neoplastic transformation induced by arsenite in human embryo lung fibroblast ( HELF ) cells .
",
4943,"METHODS Anchorage-independent growth assays were performed , and tumorigenicity in intact animals was assessed to confirm arsenite-induced neoplastic transformation .
",
4944,"We determined the levels and functions of p53 , nuclear factor-kappa B ( NF-B ; a key transcriptional regulator ) , and mot-2 ( a p53 inhibitor ) and their relationships in arsenite-induced transformed HELF cells by two-dimensional electrophoresis , reverse-transcriptase polymerase chain reaction , Western blot , immunofluorescence , and co-immunoprecipitation assays .
",
4945,"RESULTS Exposure of HELF cells to low levels of arsenite increased their proliferation rate and anchorage-independent growth and disrupted normal contact inhibition .
",Evading growth suppressors--By evading contact inhibition
4946,"When introduced into nude mice , transformed cells were tumorigenic .
",
4947,"We used proteomic analysis to identify proteins with altered expression between untreated and arsenite-exposed cells .
",
4948,"We found decreased expression of NF-B repressing factor ( NKRF ; an inhibitor of NF-B-mediated gene transcription ) , increased expression of mot-2 , and increased activation of NF-B .
",
4949,"Changes in cells exposed to 1.0 microM arsenite were more marked than changes in cells exposed to 0.5 or 2.0 microM arsenite .
",
4950,"Inactivation of NF-B prevented malignant transformation induced by 1.0 microM arsenite .
",
4951,"Moreover , we also identified a mechanism whereby NF-B regulated p53 .
",
4952,"Specifically , activation of NF-B up-regulated mot-2 expression , which prevented nuclear translocation of p53 and switched the binding preference of the p53 and NF-B coactivator CBP [ cyclic AMP-responsive element binding protein ( CREB ) binding protein ] from p53 to NF-B .
",
4953,"CONCLUSIONS mot-2-mediated cross talk between NF-B and p53 appears to be involved in arsenite-induced tumorigenesis of HELF cells .
",
4954,"Previous epidemiologic observational and experimental studies investigated the potential of antioxidant micronutrients to modulate cancer risk , but these studies produced inconsistent results .
",
4955,"In this pilot , randomized , double-blind , placebo-controlled clinical trial ( n = 47 ) , we assessed the effects of an antioxidant micronutrient combination ( 800 mg dl-alpha-tocopherol acetate , 24 mg beta-carotene , 1.0 g vitamin C , 200 microg l-selenomethionine , 7.2 mg riboflavin , 80 mg niacin , 60 mg zinc , 5 mg manganese ) given daily over 4 months on oxidative and inflammatory biomarkers in patients with a history of sporadic colorectal adenoma .
",
4956,"Plasma tumor necrosis factor-alpha ( TNF-alpha ) , interleukin-6 , and F2-isoprostane concentrations were measured using ELISAs , and cystine ( CySS ) was measured using high-performance liquid chromatography .
",
4957,"Plasma TNF-alpha concentration decreased in the active treatment group by 37% relative to the placebo group ( P = 0.002 ) , and CySS decreased by 19% ( P = 0.03 ) ; however , interleukin-6 and F2-isoprostane concentrations decreased in antioxidant-treated nonsmokers but increased in smokers , although these findings were not statistically significant .
",
4958,"The decreases of TNF-alpha and CySS were more pronounced in nonsmokers .
",
4959,"These data suggest that ( a ) an antioxidant micronutrient cocktail can modulate biomarkers of oxidative stress and inflammation in humans and ( b ) the effects of antioxidant micronutrient supplementation on biomarkers of inflammation and oxidative stress may differ according to smoking status .
",Tumor promoting inflammation--Inflammation--Oxidative stress
4960,"The tumor suppressor p27(Kip1) is an inhibitor of cyclin/cyclin-dependent kinase ( CDK ) complexes and plays a crucial role in cell cycle regulation .
",
4961,"Nevertheless , p27 function in the tumorigenesis of the uterine cervix has been poorly defined .
",
4962,"Some phenomenon hints that HPV E7 protein can enhance p27 expression , which is contradictory to HPV E7's property of increasing cell proliferation rate .
",
4963,"So , in the present study , we have examined the effect of E7 on p27 expression .
",
4964,"Though the levels of p27 are increased after HPV E7 expression , most of the p27 protein localized in the cytoplasm and have no function on cell cycle arrest and contact inhibition .
","Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle,Evading growth suppressors--By evading contact inhibition"
4965,"The cell migration rate is elevated when p27 is high expression and located in cytoplasm .
",
4966,"The results indicated that E7-p27 interaction not only abolished the p27's cell cycle inhibitory function by sequestering it to the cytoplasm , but also endow the cell with invasive property which is the feature of malignant cells .
",Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle
4967,"Bilateral spontaneous pneumothorax is a rare occurrence in patients with both primary and metastatic lung cancer .
",
4968,"Pneumothorax occurring as a complication of vascular endothelial growth factor receptor ( VEGFR ) inhibitor therapy has not been previously described in the medical literature .
",
4969,"Sunitinib malate is a VEGFR inhibitor approved for the treatment of advanced renal cell carcinoma .
",
4970,"We present a patient with metastatic renal cell carcinoma manifested as bilateral pulmonary nodules who developed a bilateral spontaneous pneumothorax 3 weeks after initiation of sunitinib therapy .
",
4971,"We believe that sunitinib therapy resulted in necrosis of multiple pleural-based pulmonary nodules with central cavernization and ultimately rupture with bronchopleural fistula formation .
",Resisting cell death--Necrosis
4972,"Based on this experience , we advise that practitioners exercise caution when prescribing anti-VEGFR therapy in patients with pleural-based pulmonary metastases and recognize that the efficacy and toxicity of these agents may be closely linked .
",
4973,"DNA double strand breaks ( DSBs ) arise from spontaneous DNA damage due to metabolic activities or from direct and indirect damaging effects of stress .
",
4974,"DSBs are also formed transiently during such processes as replication , transcription , and DNA repair .
",
4975,"The level of DSBs positively correlates with the activities of homologous and nonhomologous DNA repair pathways , which in turn inversely correlate with methylation levels and chromatin structure .
","Genomic instability and mutation--DNA damage--Strand breaks,Genomic instability and mutation--DNA repair mechanisms"
4976,"Thus , measurement of strand breaks can provide an informative picture of genome stability of a given cell .
",Genomic instability and mutation--DNA damage--Strand breaks
4977,"The use of random oligonucleotide-primed synthesis for the analysis of DSB levels is described .
",Genomic instability and mutation--DNA damage--Strand breaks
4978,"Applications of the assay for quantitative detection of 3'OH , 3'P , or DNA strand breaks at a cleavage site of the deoxyribose residue are discussed .
",Genomic instability and mutation--DNA damage--Strand breaks
4979,"INTRODUCTION Statins are cholesterol-lowering drugs with pleiotropic activities including inhibition of isoprenylation and reduction of signals driving cell proliferation and survival responses .
",
4980,"METHODS In this study we evaluated the effects of lovastatin acid and lactone on breast cancer MDAMB231 and MDAMB468 cells using a combination of proteomic and metabonomic profiling techniques .
",
4981,"RESULTS Lovastatin inhibited proliferation of breast cancer cell lines .
",
4982,"MDAMB231 cells were more sensitive to its effects , and in most cases lovastatin acid showed more potency towards the manipulation of protein expression than lovastatin lactone .
",
4983,"Increased expression of Rho inhibitor GDI-2 stabilized the non-active Ras homolog gene family member A ( RhoA ) leading to a decreased expression of its active , membrane-bound form .
",
4984,"Its downstream targets cofilin , CDC42 and G3BP1 are members of the GTPase family affected by lovastatin .
",
4985,"Our data indicated that lovastatin modulated the E2F1-pathway through the regulation of expression of prohibitin and retinoblastoma ( Rb ) .
",
4986,"This subsequently leads to changes of E2F-downstream targets minichromosome maintenance protein 7 ( MCM7 ) and MutS homolog 2 ( MSH2 ) .
",
4987,"Lovastatin also regulated the AKT-signaling pathway .
",Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling
4988,"Increased phosphatase and tensin homolog ( PTEN ) and decreased DJ-1 expression lead to a down-regulation of the active pAkt .
",Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling
4989,"Lovastatin's involvement in the AKT-signaling pathway was confirmed by an upregulation of its downstream target , tumor progressor NDRG1 .
",Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling
4990,"Metabolic consequences to lovastatin exposure included suppression of glycolytic and Krebs cycle activity , and lipid biosynthesis .
",
4991,"CONCLUSIONS The combination of proteomics and metabonomics enabled us to identify several key targets essential to the antitumor activity of lovastatin .
",
4992,"Our results imply that lovastatin has the potential to reduce the growth of breast cancer cells .
",
4993,"INTRODUCTION Various agents used in breast cancer chemotherapy provoke DNA double-strand breaks ( DSBs ) .
",
4994,"DSB repair competence determines the sensitivity of cells to these agents whereby aberrations in the repair machinery leads to apoptosis .
",
4995,"Proteins required for this pathway can be detected as nuclear foci at sites of DNA damage when the pathway is intact .
",
4996,"Here we investigate whether focus formation of repair proteins can predict chemosensitivity of breast cancer .
",
4997,"METHODS Core needle biopsy specimens were obtained from sixty cases of primary breast cancer before and 18-24 hours after the first cycle of neoadjuvant epirubicin plus cyclophosphamide ( EC ) treatment .
",
4998,"Nuclear focus formation of DNA damage repair proteins was immunohistochemically analyzed and compared with tumor response to chemotherapy .
",
4999,"RESULTS EC treatment induced nuclear foci of gammaH2AX , conjugated ubiquitin , and Rad51 in a substantial amount of cases .
",Genomic instability and mutation--DNA damage--
5000,"In contrast , BRCA1 foci were observed before treatment in the majority of the cases and only decreased after EC in thirteen cases .
",
5001,"The presence of BRCA1- , gammaH2AX- , or Rad51-foci before treatment or the presence of Rad51-foci after treatment was inversely correlated with tumor response to chemotherapy .
",
5002,"DNA damage response ( DDR ) competence was further evaluated by considering all four repair indicators together .
",
5003,"A high DDR score significantly correlated with low tumor response to EC and EC + docetaxel whereas other clinicopathological factors analyzed did not .
",
5004,"CONCLUSIONS High performing DDR focus formation resulted in tumor resistance to DNA damage-inducing chemotherapy .
",
5005,"Our results suggested an importance of evaluation of DDR competence to predict breast cancer chemosensitivity , and merits further studying into its usefulness in exclusion of non-responder patients .
",
5006,"BACKGROUND Astaxanthin modulates immune response , inhibits cancer cell growth , reduces bacterial load and gastric inflammation , and protects against UVA-induced oxidative stress in in vitro and rodent models .
",
5007,"Similar clinical studies in humans are unavailable .
",
5008,"Our objective is to study the action of dietary astaxanthin in modulating immune response , oxidative status and inflammation in young healthy adult female human subjects .
",
5009,"METHODS Participants ( averaged 21.5 yr ) received 0 , 2 , or 8 mg astaxanthin ( n = 14/diet ) daily for 8 wk in a randomized double-blind , placebo-controlled study .
",
5010,"Immune response was assessed on wk 0 , 4 and 8 , and tuberculin test performed on wk 8 .
",
5011,"RESULTS Plasma astaxanthin increased ( P < 0.01 ) dose-dependently after 4 or 8 wk of supplementation .
",
5012,"Astaxanthin decreased a DNA damage biomarker after 4 wk but did not affect lipid peroxidation .
",Genomic instability and mutation--DNA damage--
5013,"Plasma C-reactive protein concentration was lower ( P < 0.05 ) on wk 8 in subjects given 2 mg astaxanthin .
",Tumor promoting inflammation--Inflammation--
5014,"Dietary astaxanthin stimulated mitogen-induced lymphoproliferation , increased natural killer cell cytotoxic activity , and increased total T and B cell subpopulations , but did not influence populations of Thelper , Tcytotoxic or natural killer cells .
",
5015,"A higher percentage of leukocytes expressed the LFA-1 marker in subjects given 2 mg astaxanthin on wk 8 .
",
5016,"Subjects fed 2 mg astaxanthin had a higher tuberculin response than unsupplemented subjects .
",
5017,"There was no difference in TNF and IL-2 concentrations , but plasma IFN-gamma and IL-6 increased on wk 8 in subjects given 8 mg astaxanthin .
",
5018,"CONCLUSION Therefore , dietary astaxanthin decreases a DNA damage biomarker and acute phase protein , and enhances immune response in young healthy females .
","Genomic instability and mutation--DNA damage--,Tumor promoting inflammation--Immune response"
5019,"BACKGROUND The pTalpha/preTCR regulates the beta-selection , a crucial T-cell developmental checkpoint , providing a most potent survival advantage to thymocytes mediated by the src-kinase p56(Lck) .
",
5020,"METHODS To define the relevance of pTalpha in human T-cell lymphoblastic leukemia ( T-ALL ) , we analyzed in T-ALL cell lines ( n=14 ) pTalpha and p56(Lck) mRNA and protein expression as also the tyrosine-phosphorylation .
",
5021,"The p56(Lck) specific src-protein-tyrosine kinase inhibitor ( PTK-I ) PP1 was used in growth inhibition assays .
",
5022,"IC(50) value determination , cell cycle- and apoptosis analyses were performed in T-ALL- , non-T-ALL- and murine transgenic cell lines .
",
5023,"RESULTS pTalpha expression patterns were markedly different in T-ALL cell lines as compared to those reported for normal lymphoid counterparts .
",
5024,"PP1 induced in 6/11 T-ALL cell lines a survival disadvantage resulting from a cell cycle arrest in the G(1/0) phase in thymic lymphoblastic cells and apoptosis induction in the immature cell line HSB-2 , respectively .
","Resisting cell death--Apoptosis,Sustaining proliferative signaling--Cell cycle,Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle"
5025,"PP1 sensitive cell lines expressed the target protein p56(Lck) and showed a corresponding P-Tyr signal .
",
5026,"CONCLUSION Sensitivity of thymic T-ALLs to PP1 clearly underlines the impact of pTalpha mediated proliferation in this leukemic sub-type .
",
5027,"In addition , p56(Lck) represents also independently of pTalpha a promising therapeutical target for the src-kinase inhibitors in neoplastic lymphoid diseases .
",
5028,"Prostate cancer ( PCA ) is the most common invasive malignancy and the second leading cause of cancer-related death in males .
",
5029,"The present study investigated the effects of fangchinoline ( Fan ) , an important compound in Stephania Tetradra S. Moore ( Fenfangji ) with pain-relieving , blood pressure-depressing , and antibiotic activities , on human PCA .
",
5030,"It was found that Fan inhibited human prostate cancer cell lines ( PC3 ) cell proliferation in a dose- and time-dependent manner .
",
5031,"Studies of cell-cycle progression showed that the anti-proliferative effect of Fan was associated with an increase in the G1/S phase of PC3 cells .
","Sustaining proliferative signaling--Cell cycle,Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle"
5032,"Western blot results indicated that Fan-induced G1/S phase arrest was mediated through inhibition of cyclin-regulated signaling pathways .
","Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle,Sustaining proliferative signaling--Cell cycle"
5033,"Fan induced p27 expression and inhibited cyclin D and proliferating cell nuclear antigen ( PCNA ) expression in PC3 cells .
","Sustaining proliferative signaling--Cell cycle,Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle"
5034,"Increased exposure time to Fan caused apoptosis of PC3 cells , which was associated with up-regulation of pro-apoptotic proteins Bax and caspase 3 , and down-regulation of anti-apoptotic protein Bcl-2 .
",Resisting cell death--Apoptosis
5035,"Furthermore , Fan had anti-tumorigenic activity in vivo , including reduction of tumor volume and pro-apoptotic and anti-proliferative effects in a PC3 nude mouse xenograft .
",
5036,"Taking all this together , it can be concluded that Fan is an effective anti-proliferative agent that modulates cell growth regulators in prostate cancer cells .
",
5037,"Although the immunomodulatory effects of many herbs have been extensively studied , research related to possible immunomodulatory effects of various spices is relatively scarce .
",
5038,"Here , the potential immunomodulatory effects of black pepper and cardamom are investigated .
",
5039,"Our data show that black pepper and cardamom aqueous extracts significantly enhance splenocyte proliferation in a dose-dependent , synergistic fashion .
",
5040,"Enzyme-linked immunosorbent assay experiments reveal that black pepper and cardamom significantly enhance and suppress , respectively , T helper ( Th)1 cytokine release by splenocytes .
",
5041,"Conversely , Th2 cytokine release by splenocytes is significantly suppressed and enhanced by black pepper and cardamom , respectively .
",
5042,"Experimental evidence suggests that black pepper and cardamom extracts exert pro-inflammatory and anti-inflammatory roles , respectively .
",Tumor promoting inflammation--Inflammation--
